TaxId	Species	SubPhylum	Class	Order	Family	Genus
41139	Coccinella_septempunctata	Hexapoda	Insecta	Coleoptera	Coccinellidae	Coccinella
2038154	Ignelater_luminosus	Hexapoda	Insecta	Coleoptera	Elateridae	Ignelater
7054	Photinus_pyralis	Hexapoda	Insecta	Coleoptera	Lampyridae	Photinus
116153	Aethina_tumida	Hexapoda	Insecta	Coleoptera	Nitidulidae	Aethina
110193	Nicrophorus_vespilloides	Hexapoda	Insecta	Coleoptera	Silphidae	Nicrophorus
224129	Agrilus_planipennis	Hexapoda	Insecta	Coleoptera	Buprestidae	Agrilus
166361	Onthophagus_taurus	Hexapoda	Insecta	Coleoptera	Scarabaeidae	Onthophagus
80249	Phaedon_cochleariae	Hexapoda	Insecta	Coleoptera	Chrysomelidae	Phaedon
1586481	Exocentrus_adspersus	Hexapoda	Insecta	Coleoptera	Cerambycidae	Exocentrus
2921223	Anthonomus_grandis	Hexapoda	Insecta	Coleoptera	Curculionidae	Anthonomus
343691	Hermetia_illucens	Hexapoda	Insecta	Diptera	Stratiomyidae	Hermetia
2530218	Condylostylus_longicornis	Hexapoda	Insecta	Diptera	Dolichopodidae	Condylostylus
29031	Phlebotomus_papatasi	Hexapoda	Insecta	Diptera	Psychodidae	Phlebotomus
319348	Polypedilum_vanderplanki	Hexapoda	Insecta	Diptera	Chironomidae	Polypedilum
7396	Glossina_fuscipes	Hexapoda	Insecta	Diptera	Glossinidae	Glossina
38358	Bradysia_coprophila	Hexapoda	Insecta	Diptera	Sciaridae	Bradysia
265458	Contarinia_nasturtii	Hexapoda	Insecta	Diptera	Cecidomyiidae	Contarinia
7385	Sarcophaga_bullata	Hexapoda	Insecta	Diptera	Sarcophagidae	Sarcophaga
139649	Teleopsis_dalmanni	Hexapoda	Insecta	Diptera	Diopsidae	Teleopsis
7375	Lucilia_cuprina	Hexapoda	Insecta	Diptera	Calliphoridae	Lucilia
35570	Stomoxys_calcitrans	Hexapoda	Insecta	Diptera	Muscidae	Stomoxys
28588	Zeugodacus_cucurbitae	Hexapoda	Insecta	Diptera	Tephritidae	Zeugodacus
42839	Anopheles_aquasalis	Hexapoda	Insecta	Diptera	Culicidae	Anopheles
7536	Oncopeltus_fasciatus	Hexapoda	Insecta	Hemiptera	Lygaeidae	Oncopeltus
